username,published_at,comment,bahasa,comment_clean
@Allietajosiyovela,2025-03-31T17:44:20Z,"Kecamkan cowok sperti itu ,uda ga ada manfastnya lgsg di buang.dasar cowok brengsek .harapan smua penggemar korea jgn pernah mau nonton film pemainnya ini cowok",id,kecam cowok sperti uda ga manfastnya lgsg buangdasar cowok brengsek harap smua gemar korea jgn nonton film main cowok
@rhenydesu,2025-03-31T16:33:37Z,dah lama ga nonton mas hansol karena saya ga suka horror content heheehe,tl,dah ga nonton mas hansol ga suka horror content heheehe
@sadewasweetz077,2025-03-31T16:08:06Z,Saya percaya kim soo hyun,so,percaya kim soo hyun
@sadewasweetz077,2025-03-31T16:07:44Z,Anaknya kim saeron Ayah angkatnya pelakunya semuanya palsu kepeduhan dimelecehkan  kedepa kim soo hyun,id,anak kim saeron ayah angkat laku palsu duh leceh depa kim soo hyun
@WulanHeni-qq8ly,2025-03-31T15:33:20Z,Wartawan yg jahat itu gak minta maaf juga? Soalnya gak muncul itu,id,wartawan yg jahat gak maaf gak muncul
@samuelsurjanachannel476,2025-03-31T14:47:41Z,Kim soo hyun emang ngeri sih sakit dah ni org,id,kim soo hyun emang ngeri sih sakit dah ni org
@Closerline,2025-03-31T10:37:15Z,Kapan dipenjara si cangcut?😂,id,penjara si cangcut
@nurnovianapudan,2025-03-30T18:13:29Z,"Jujur aku shock denger berita ini, gak nyangka banget sama kim somen 😢",id,jujur shock denger berita gak nyangka banget kim somen
@minischechio9159,2025-03-30T16:35:11Z,"Bjir uda 17 video aja woii, dari yg pertama kni 😅😂",id,bjir uda video aja woii yg kni
@HaniNurhanifah-w1l,2025-03-28T05:11:25Z,Mengapa di dalam islam tidak boleh pacaran?,id,islam pacar
@familyacik6308,2025-03-26T23:46:38Z,"Agensi jahat, child grooming, eksploitasi anak, knetz jahat... Semua ambil peran. Jadi ini bener2 memperbaiki nama KSR atau, orang tua ingin lepas tanggung jawab dari hutang yg ditinggalkan, klau ingin fokus memperbaiki nama, knp gg fokus ke, memperbaiki nama karna dui, KSR diperkerjakan waktu awal agensi didirikan tanpa bayaran, bahkan waktu KSR dapat masalah gg ada pihak keluarga yg menemani, sampai KSR memohon untuk masalah tidak dibesar-besarkan ""dia pencari nafkah keluarganya, dan sulit bagi dia untuk memenuhi kebutuhan. Tolong kasihanilah saya,""(maret, 2023), bahkan knetz mempertanyakan"" Knp orang tua KSR Masih muda tapi tidak bekerja"".semoga benar2 mau memperjuangkan nama KSR bukan untuk menghindari hutang yg ditinggalkan KSR, orang tua yg baik, pasti akan menjauhkan anaknya dari yg namanya pacaran, bukan malah mendukung ketika diiming-imingi bakal dinikahi, stop #eksploitasianak jauhkan anak dari #childgrooming",id,agens jahat child grooming eksploitasi anak knetz jahat ambil peran bener baik nama ksr orang tua lepas tanggung hutang yg tinggal klau fokus baik nama knp gg fokus baik nama karna dui ksr kerja agens diri bayar ksr gg keluarga yg tani ksr mohon dibesarbesarkan cari nafkah keluarga sulit penuh butuh kasihan sayamaret knetz knp orang tua ksr muda bekerjasemoga juang nama ksr hindar hutang yg tinggal ksr orang tua yg jauh anak yg nama pacar dukung diimingimingi nikah stop eksploitasianak jauh anak childgrooming
@lipachoisuhnaka1706,2025-03-26T00:04:57Z,"KSR, AGUSNYA KORSEL😪🫵",hu,ksr agus korsel
@boisberak1665,2025-03-25T21:35:18Z,tapi bener bundir ga ya dia? atw dia di bunuh?😢,id,bener bundir ga atw bunuh
@ahmd_aziznnn,2025-03-25T14:45:04Z,ijino anying,sw,ijino anying
@ahmd_aziznnn,2025-03-25T14:38:35Z,kasian jir di manfaatin doang,id,kasi jir manfaatin doang
@villyawarouw,2025-03-25T14:36:33Z,Apa masih ada yg berani ngasih proyek bareng wonbin & kim so hyun?,id,yg berani ngasih proyek bareng wonbin kim so hyun
@ahmd_aziznnn,2025-03-25T14:34:18Z,ksh ytm,sq,ksh ytm
@user-fgbnms74,2025-03-25T06:36:11Z,"다음주 그 증거가 나온다!!!
동영상.사진 등등....
김수현.이진호 끝났다!!!
김수현은 거짓말을 수없이 한다
이진호는 고인을 모욕했다",ko,
@amoswang1473,2025-03-25T02:50:37Z,"Yang perlu di perhatikan dan kebenaran nya sudah di akui.
Gold Medalist, si agensi dulu membantah keras hubungan asmara.
Kemudian pernyataan itu di ubah menjadi Gold Medalist mengakui hubungan asmara walau tahun nya berbeda seperti tuduhan.
Hal lain nya masih perlu di buktikan kebenaran nya.....",id,perhati benar nya aku gold medalist si agens ban keras hubung asmara nyata ubah gold medalist aku hubung asmara nya beda tuduh nya bukti benar nya
@yunitalarahati50,2025-03-24T10:54:19Z,"MANUSIA ZOLIM BERDUIT BISA MENGHINDARI HUKUMAN DUNIA,TPI TIDAK BISA LOLOS PEMBALASAN TUHAN DUNIA DAN AKHIRAT",de,manusia zolim duit hindar hukum duniatpi lolos balas tuhan dunia akhirat
@kasamago,2025-03-24T01:33:44Z,"Dunia hiburan itu mengerikan.. Indah covernya, belum tentu isi nya",id,dunia hibur keri indah covernya isi nya
@KebedLambutekit,2025-03-23T13:16:14Z,Good luck kim soo hyun..apa pun terjadi aku mendukung mu kim soo hyun..,id,good luck kim soo hyunapa dukung mu kim soo hyun
@Latifah-o7z,2025-03-23T04:28:37Z,😱 ? Video kim saeron & kim soo hyun,et,video kim saeron kim soo hyun
@adminbedaituokay,2025-03-22T23:55:32Z,Judulnya perseteruan krn uang. Kalo di sana takut malu. Jadi milih mati. Tp di sini artisnya ada bbr yg ga tau malu,id,judul seteru krn uang kalo takut malu milih mati tp artis bbr yg ga tau malu
@ratuwangi8701,2025-03-22T23:36:46Z,saeron knp gk samperin lsg aja ke kantor gold medallist ? daripada lewat HP,id,saeron knp gk samperin lsg aja kantor gold medallist hp
@NoName-jh7jn,2025-03-22T19:25:57Z,"Dari awal sampai ini konten ada berat sebelah dari mimik dan cara bicara ada condong ke ytb gaseon + keluarga    KSR, kenapa tidak di kasih judul konten pembela keluarga KSR aja kalau sampai terbukti KSR menikah dan melakukan aborsi anda harus meminta maaf pada KSH dan take down semua video yg motifnya menjelekan KSH.",id,konten berat belah mimik bicara condong ytb gaseon keluarga ksr kasih judul konten bela keluarga ksr aja bukti ksr meni aborsi maaf ksh take down video yg motif jelek ksh
@rubycasama9092,2025-03-22T06:28:31Z,"Mas tolong topic ini dibuatkan konten juga dalam Bhs Indonesia 

Unfair Judgment: The Case of Kim Soohyun

Cultural critic and professor Ha Jae-geun has weighed in on the controversy surrounding Kim Soohyun, urging the public to avoid premature condemnation. In his analysis, Ha stated:

""Nothing is clear yet. However, the real issue is that a significant number of people have been demonizing Kim Soohyun. Of course, it is possible that Kim Soohyun’s mistakes may come to light in the future, but that is something to be judged at that time. It would be better to make judgments after the truth becomes clearer.""

Ha Jae-geun, a well-respected cultural critic and special professor in the Department of Business Administration at International Cyber University, is known for his insights on media and celebrity culture. He has contributed to various media platforms, including EBS TV, KBS1 Radio, YTN Radio, and TBN Seoul, analyzing major industry issues.

As he pointed out, while Kim Soohyun may have made mistakes, the level of criticism he is receiving appears disproportionate. If he truly shouldered a 700 million won debt for his ex-girlfriend long after their breakup, he should be acknowledged and  praised—for his generosity and sense of responsibility, rather than condemned. The situation remains complex, and the key to resolving it lies in verifying facts rather than fueling baseless accusations.

#WeStandwithKimSooHyun
#KimSoohyun #JusticeForKimSoohyun #NoToCyberBullying Kim Soo Hyun",en,mas topic buat konten bhs indonesia unfair judgment the case of kim soohyun cultural critic and professor ha jaegeun has weighed in on the controversy surrounding kim soohyun urging the public to avoid premature condemnation in his analysis ha stated nothing is clear yet however the real issue is that a significant number of people have been demonizing kim soohyun of course it is possible that kim soohyuns mistakes may come to light in the future but that is something to be judged at that time it would be better to make judgments after the truth becomes clearer ha jaegeun a wellrespected cultural critic and special professor in the department of business administration at international cyber university is known for his insights on media and celebrity culture he has contributed to various media platforms including ebs tv kbs radio ytn radio and tbn seoul analyzing major industry issues as he pointed out while kim soohyun may have made mistakes the level of criticism he is receiving appears disproportionate if he truly shouldered a million won debt for his exgirlfriend long after their breakup he should be acknowledged and praisedfor his generosity and sense of responsibility rather than condemned the situation remains complex and the key to resolving it lies in verifying facts rather than fueling baseless accusations westandwithkimsoohyun kimsoohyun justiceforkimsoohyun notocyberbullying kim soo hyun
@Patchamonnapasorn,2025-03-22T01:19:17Z,Intinya kalau lagi ngga suka kim soo hyun tinggal unfollow akun sosmednya dia😊akun apapun itu,id,inti ngga suka kim soo hyun tinggal unfollow akun sosmednya diaakun apa
@Asdfyygv,2025-03-22T00:35:16Z,"Coba ya kim sae ron km ga ktm KSH 😢 ini bnr2 definisi wanita yg baik, di tangan cowo yg salah..",id,coba kim sae ron km ga ktm ksh bnr definisi wanita yg tangan cowo yg salah
@geganariefa5406,2025-03-21T22:17:53Z,Seharusnya keluarga yg ada disampingnya.... Suami istri ajah klw salah satunya kena skandal pergi minggat apa lagi hanya pacaran yg g pernah terekspos.... Makanya klw di Korea ada skandal nama baik rusak karirnya juga rusak g balik lagi.. makanya kebanyakan bundir soalnya g tau hrs memulai karir dr mana lagi..... Se kecil apa yaaa mental mreka padahal kan bisa mulai usaha meski g dunia intertaiment,id,keluarga yg samping suami istri ajah klw salah satu kena skandal pergi minggat pacar yg g ekspos klw korea skandal nama rusak karirnya rusak g banyak bundir g tau hrs karir dr yaaa mental mreka usaha g dunia intertaiment
@geganariefa5406,2025-03-21T22:14:48Z,Sesungguhnya bukan salah kim Sehun sih dikorea emang banyak larangan agensi buat pacaran itupun klw pacaran ngumpet ngumpet.. trs nama baik hrs dijaga makanya klw ada skandal mrk menjauh soalnya emang nama baik dijaga banget.... Kim saeron kena skandal nama jelek Kim sohyun otomatis mundur menjauh.... Salahnya dimana ... Ini bukan negara Indonesia semakin nama baik tercemar semakin laris di Korea beda gyus..... Jadi jangan menyalahkan salah satu pihak,id,sungguh salah kim hun sih dikorea emang larang agens pacar itu klw pacar ngumpet ngumpet trs nama hrs jaga klw skandal mrk jauh emang nama jaga banget kim saeron kena skandal nama jelek kim sohyun otomatis mundur jauh salah negara indonesia nama cemar laris korea beda gyus salah salah
@cemilan_1056,2025-03-21T13:46:01Z,Akun lee jin ho yg mna si,so,akun lee jin ho yg mna si
@andreeadeea4249,2025-03-21T12:31:29Z,"Kim Sae Ron's family should be investigated, they are using the media to kill and destroy Kim Soo Hyun. And at the end of this story, if things end badly, they will blame society  .",en,kim sae rons family should be investigated they are using the media to kill and destroy kim soo hyun and at the end of this story if things end badly they will blame society
@TrinormaningsihNorma-zl7vp,2025-03-21T02:09:01Z,Kenapa ya harus bunuh diri..😢 apa netizen Korea lebih kejam ya komennya...semoga mbak Kim beristirahat dengan tenang..anin,id,bunuh netizen korea kejam komennyasemoga mbak kim istirahat tenanganin
@happycsl8293,2025-03-21T00:44:49Z,"❤

Lekas dapat solusi yang terbaik
Moga nitisen sehat walafiat
Moga arwah dapat melanjutkan ke dimensi selanjutnya dengan damai dan lepas kan segala kemelekatan dunia
Buat mantan nya semoga kuat dalam pembelajaran hidup dan dapat naik level selanjutnaya mungkin perlu hilinh bentar kalau sudah lelah kerja dunia masih luas untuk lanjut hidup selanjutnya 

Tetap semangat
Nitisen sehat sehat ya",id,lekas solusi baik moga nitisen sehat walafiat moga arwah lanjut dimensi damai lepas lekat dunia mantan nya moga kuat ajar hidup level selanjutnaya hilinh bentar lelah kerja dunia luas hidup semangat nitisen sehat sehat
@If_A.,2025-03-20T21:02:26Z,Udah lama gk nonton videonya mas Hansol. Baru datang pas berita ini😅,id,udah gk nonton video mas hansol pas berita
@ucumeriyani9950,2025-03-20T18:02:31Z,"Bang bahas berita terbaru, bener ga lee jin ho di tangkap? Jadi tersangka kasus meninggalnya almarhumah?",id,bang bahas berita baru bener ga lee jin ho tangkap sangka tinggal almarhumah
@bangjonrmpet8608,2025-03-20T11:13:09Z,Padahal gua seneng bgt sama Kim saeron .. dri drakornya dia mah kecil sampe udh gede ..😂😂😂 cantiknya unik wajahnya beda dari yg lain .. 😢😢 gak taunya hidupnya sulit dan di persulit sama Kim soun bjirr .. psikopat,id,gua neng bgt kim saeron dri drakornya mah sampe udh gede cantik unik wajah beda yg gak tau hidup sulit sulit kim soun bjirr psikopat
@NuriMuahiddah,2025-03-20T04:45:42Z,"Dulu saya fans dari kim so hyun sejak menikah 2017 suami mengarahkan saya untuk lebih dekat ke Allah dan sebaiknya tidak drakoran lagi❤ ..tapi lihat berita ini jadi sangat menyayangkan kejadian ini..tapi pelajaran dari sini..as a muslim.. Allah sdh menunjukkan syariat anak perempuan baligh adalah tanggung jawab ayah sebagai walinya yang dia wajib melindungi putrinya dan menjaga putrinya untuk tidak melakukan sex bebas sebelum menikah ..kalau pun ada pria dewasa yang menginginkan anaknya maka pria itu wajib menikahinya dan mengambil tanggung jawab dari ayahnya.. dengan menikahinya pria itu wajib menyayangi menafkahi lahir dan bathin membimbing dan bertanggung jawab atas semuanya..
ALLAH juga mengharamkan alkohol agar menjaga otak manusia agar tidak rusak agar tidak terjadi kecelakaan dll..apalagi bunuh diri..kalau ayahnya atau pun ada suami yang bertanggung jawab pasti bisa melindungi puteri atau istrinya agar terhindar dari bunuh diri..itu jika manusia mau taat dan taqwa pada Allah apapun ras suku atau syariat islam berlaku untuk seluruh dunia..rahmatan Lil alamin😊",id,fans kim so hyun meni suami arah allah drakoran lihat berita sayang jadi initapi ajar sinias a muslim allah sdh syariat anak perempuan baligh tanggung ayah wali wajib lindung putri jaga putri sex bebas meni pria dewasa anak pria wajib nikah ambil tanggung ayah nikah pria wajib sayang nafkah lahir bathin bimbing tanggung allah haram alkohol jaga otak manusia rusak celaka dllapalagi bunuh dirikalau ayah suami tanggung lindung puter istri hindar bunuh diriitu manusia taat taqwa allah apa ras suku syariat islam laku duniarahmatan lil alamin
@ChandraPonsel-k3w,2025-03-20T02:50:56Z,"Aku heran masih ada ajaaa yg muja2 tu lakik 
Ksh udh dapet masa remajanya,udh dapet segalanya,habis manis sepah dibuang
Dasarr pedopil",id,heran ajaaa yg muja tu lakik ksh udh dapet remajanyaudh dapet segalanyahabis manis sepah buang dasarr pedopil
@eaShortProject,2025-03-20T00:36:39Z,"You said to be respectful at the comments  but you misleading information ,some of them yes passed away some life and well",en,you said to be respectful at the comments but you misleading information some of them yes passed away some life and well
@agussabro8316,2025-03-19T22:45:53Z,Lbih Enak Pnyampaian Mas Hansol...,id,lbih enak pnyampaian mas hansol
@Luinns338,2025-03-19T15:30:29Z,susahnya dengerin berita kasus yang orangnya ga gua kenal samsek😂😂😂,id,susah dengerin berita orang ga gua kenal samsek
@siokboen1612,2025-03-19T10:29:06Z,"19:33 waktu video terpendek dg penjelasan bagus ,kupilih deh daripada video lain dg topik sama dg waktu lama .",id,video pendek dg jelas bagus pilih deh video dg topik dg
@PrabaAndari,2025-03-19T08:18:13Z,"Hi Hansol,

I noticed you’ve shared news about KSH several times. May I ask if there are any other stories that might be more meaningful or helpful to share besides this case?

I also want to remind you that Korea is currently facing many suicide cases due to online attacks. I’m not a fan of KSR or KSH, but wouldn’t it be better not to stir things up even more?

Do you remember how KSR was relentlessly criticized by netizens until they ended their life? What if the same thing happens to KSH? :"")

I understand that they might not seem like a good person in the media, but is it really right for us to push someone to the point where they feel like there’s no way out?

Let’s be more mindful and compassionate when sharing information. We never truly know how deeply someone might be hurting.",en,hi hansol i noticed youve shared news about ksh several times may i ask if there are any other stories that might be more meaningful or helpful to share besides this case i also want to remind you that korea is currently facing many suicide cases due to online attacks im not a fan of ksr or ksh but wouldnt it be better not to stir things up even more do you remember how ksr was relentlessly criticized by netizens until they ended their life what if the same thing happens to ksh i understand that they might not seem like a good person in the media but is it really right for us to push someone to the point where they feel like theres no way out lets be more mindful and compassionate when sharing information we never truly know how deeply someone might be hurting
@rosnahmohd9326,2025-03-19T07:31:54Z,From Malaysia,en,from malaysia
@Bakasenchoustrawhatpirates,2025-03-19T07:26:29Z,"Sedalam ikii yoo , akeh seng terlibat wong gede"" , beh jan menakutkan",id,dalam ikii yoo akeh seng libat gede beh jan takut
@ErikDwi-cf5zp,2025-03-19T07:05:25Z,Semangat ngontenya duta rawon pecinta kluek😊,id,semangat ngontenya duta rawon cinta kluek
@jonesojonesu7294,2025-03-19T07:03:42Z,Kim soohyun ganteng2 banci 😏 idola ciwi2... Cinta gk selalu indah dek...,id,kim soohyun ganteng banci idola ciwi cinta gk indah dek
@sichahofficialTv,2025-03-19T06:39:32Z,"please kalian harus lihat podcast nya detektif astral tentang Kim Soo Hyun dan Kim SAE ron. 😭. jgn asal main hujat,",id,please lihat podcast nya detektif astral kim soo hyun kim sae ron jgn main hujat
@Candatawayangindah_,2025-03-19T04:13:41Z,Bisa” KSH nyusul nantinya,tl,ksh nyusul
@CR7-be7ep,2025-03-19T03:21:01Z,"Thank u bro hansol,,penjelasan mu sangat jelas dan teliti,,🎉",id,thank u bro hansolpenjelasan mu teliti
@yoshimaliki,2025-03-19T01:51:45Z,oyii suwun yo sam 😉,so,oyii suwun yo sam
@harissuaidiahmad,2025-03-19T00:35:17Z,"misalkan Kim Sae Ron pindah ke Indonesia dan bekerja di sini, udah pasti bisa survive sih",id,kim sae ron pindah indonesia udah survive sih
@tutorileks,2025-03-18T20:48:48Z,"kakek sugiono versi korea, predator the next level",sq,kakek sugiono versi korea predator the next level
@devinana833,2025-03-18T17:47:19Z,Harusnya sae ron menggunakan jalur hukum semenjak dia ga di gaji sama sekali.,id,sae ron jalur hukum semenjak ga gaji
@susrohayatun7666,2025-03-18T17:42:22Z,Orang Korea kok medok banget yoo,id,orang korea medok banget yoo
@bidannasti3494,2025-03-18T15:02:45Z,"Ngeri jg ya org sono, byk2 istighfar keh",no,ngeri jg org sono byk istighfar keh
@dianafaishe8919,2025-03-18T13:40:23Z,Gua mash bingung katanya pas dia kena DUI dia brnh tmnnya bnr kaga si artis simpang siur njir,id,gua mash bingung pas kena dui brnh tmnnya bnr kaga si artis simpang siur njir
@loeyizt,2025-03-18T12:56:12Z,yang masih ngebela fix sakit. miris banget ngebelain aktor korea sampe segitunya. udah jelas-jelas se red flag itu tapi masih pada tutup mata. gws deh,id,ngebela fix sakit miris banget ngebelain aktor korea sampe segitunya udah jelasjelas red flag tutup mata gws deh
@monicaprobolinggo4469,2025-03-18T12:18:19Z,Oh gitu,tl,gitu
@monicaprobolinggo4469,2025-03-18T12:16:31Z,Kurang jelas kayak bahasa jawa,id,kayak bahasa jawa
@erianoviyadi,2025-03-18T11:41:41Z,Kalo orang korea asli yang bahas kok vibes nya beda ya. Lebih puas gitu,id,kalo orang korea asli bahas vibes nya beda puas gitu
@nisadiandra33,2025-03-18T11:24:15Z,"Mau nanya serius , emg se DARK itu ya dunia entertainment di korea 😢😢😢😢",id,nanya serius emg dark dunia entertainment korea
@nisadiandra33,2025-03-18T11:20:52Z,"Klo bener ngeri sih KSH ,, laki harusnya memulyakan wanitanya  , ini malqh suruh kerja bakti buat menguntungkan dia ...😢",id,klo bener ngeri sih ksh laki memulyakan wanita malqh suruh kerja bakti untung
@DevinovitaSaris-ik3re,2025-03-18T09:53:33Z,Makanya pada nikah atuh ya artis korea ya teh daripada begini😢,id,nikah atuh artis korea teh
@sanjaniadam9852,2025-03-18T09:26:31Z,Kuatnya seorang lee seunggi yang mampu bertahan dari semua itu... Gak memilih jalan seperti artis lain,id,kuat lee seunggi tahan gak pilih jalan artis
@AliSidik-o9t,2025-03-18T06:56:24Z,Berarti yutub lee jin ho harus di boikot karena dia bisa bikin hancur idol lain klo sedang ada masalah .,id,yutub lee jin ho boikot bikin hancur idol klo
@desiana850,2025-03-18T04:53:11Z,Oh ternyata KIMSUYON spell nya,id,kimsuyon spell nya
